name,population,Median_household_income
Trinity-Bellwoods,16556,72226
West Humber-Clairville,33312,70741
Mount Olive-Silverstone-Jamestown,32954,55334
Humber Summit,12416,61373
Thistletown-Beaumond Heights,10360,65459
Humbermede,15545,57609
Rexdale-Kipling,10529,63232
Elms-Old Rexdale,9456,59576
Pelmo Park-Humberlea,10722,79508
Downsview-Roding-CFB,35052,57611
Kingsview Village-The Westway,22000,60824
Weston,17992,45695
Rustic,9941,44904
Humber Heights-Westmount,10948,68996
Brookhaven-Amesbury,17757,52988
Mount Dennis,13593,52162
Willowridge-Martingrove-Richview,22156,71584
Princess-Rosethorn,11051,139039
Eringate-Centennial-West Deane,18588,88872
Edenbridge-Humber Valley,15535,84113
Rockcliffe-Smythe,22246,54908
Markland Woods,10554,86965
Etobicoke West Mall,11848,63973
Islington-City Centre West,43965,72921
Alderwood,12054,83249
Long Branch,10084,61536
New Toronto,11463,50891
Mimico,33964,67525
Stonegate-Queensway,25051,85138
Kingsway South,9271,151552
Lambton Baby Point,7985,84414
High Park-Swansea,23925,82753
Runnymede-Bloor West Village,10070,112128
High Park North,22162,68116
Junction Area,14366,73720
Roncesvalles,14974,63130
South Parkdale,21849,41761
Dufferin Grove,11785,59099
Little Portugal,15559,66542
Dovercourt-Wallace Emerson-Juncti,36625,64331
Niagara,31180,79441
Weston-Pellam Park,11098,59682
Palmerston-Little Italy,13826,71168
University,7607,57847
Kensington-Chinatown,17945,44216
Waterfront Communities-The Island,65913,78479
Annex,30526,71053
Wychwood,14349,66089
Corsa Italia-Davenport,14133,71434
Oakwood-Vaughan,21210,58216
Humewood-Cedarvale,14365,61440
Casa Loma,10968,93022
Forest Hill South,10732,94536
Yonge-St.Clair,12528,80136
Bay Street Corridor,25797,48737
Rosedale-Moore Park,20923,106740
Church-Yonge Corridor,31340,56366
Caledonia-Fairbanks,9955,66048
North St.James Town,18615,41016
Cabbagetown-South St.James Town,11669,61184
Moss Park,20506,52490
Regent Park,10803,42369
Playter Estates-Danforth,7804,73216
South Riverdale,27876,76172
North Riverdale,11916,89063
Blake-Jones,7727,64483
Danforth Village - Toronto,9666,76597
Broadview North,11499,52731
Old East York,9233,77824
Danforth Village - East York,21381,69026
Greenwood-Coxwell,14417,70574
Woodbine Corridor,12541,76476
Maple Leaf,10111,62976
Beechborough-Greenbrook,6577,45211
Keelesdale-Eglinton West,11058,57780
Briar Hill-Belgravia,14257,60899
Yorkdale-Glen Park,14804,63778
Forest Hill North,12806,70920
Englemount-Lawrence,22372,58003
Bedford Park-Nortown,23236,116672
Lawrence Park South,15179,151885
Yonge-Eglinton,11817,80896
Mount Pleasant West,29658,61839
Lawrence Park North,14607,144963
Mount Pleasant East,16775,93566
Black Creek,21737,46580
Glenfield-Jane Heights,30491,51964
York University Heights,27593,53772
Bathurst Manor,15873,69634
Westminster-Branson,26274,54101
Clanton Park,16472,69997
Lansing-Westgate,16164,80384
Willowdale West,16936,59675
Newtonbrook West,23831,54981
Newtonbrook East,16097,60358
Willowdale East,50434,61920
Bayview Woods-Steeles,13154,78965
Bayview Village,21396,67355
St.Andrew-Windfields,17812,98420
Don Valley Village,27051,63997
Henry Farm,15723,56644
Pleasant View,15818,70189
Parkwoods-Donalda,34805,65126
Tam O'Shanter-Sullivan,27446,58246
Bridle Path-Sunnybrook-York Mills,9266,215798
Leaside-Bennington,16828,126930
Banbury-Don Mills,27695,77547
Thorncliffe Park,21108,46595
Flemingdon Park,21933,48917
Victoria Village,17510,51867
O'Connor-Parkview,18675,59729
The Beaches,21567,100365
East End-Danforth,21381,69026
Woodbine-Lumsden,7865,74608
Crescent Town,15683,46669
Birchcliffe-Cliffside,22291,73216
Oakridge,13845,39757
Clairlea-Birchmount,26984,68524
Wexford/Maryvale,27917,62837
Dorset Park,25003,57986
Ionview,13641,53177
Kennedy Park,17213,51028
Cliffcrest,15935,75291
Eglinton East,22776,53081
Bendale,29960,60292
Scarborough Village,16724,49568
Woburn,53485,56186
Guildwood,9917,87538
Morningside,17455,59963
West Hill,27392,56051
Rouge,20823,46664
Centennial Scarborough,13362,114897
Highland Creek,12494,102740
Malvern,43794,64114
Hillcrest Village,16934,70539
Steeles,24623,66719
L'Amoreaux,43993,59445
Agincourt South-Malvern West,23757,61992
Milliken,26572,65861
Agincourt North,29113,64686
