,Unnamed: 0,i,j,dist,route
0,0,0,0,0,[6810168787]
2,2,0,1,2453.035,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 221318190, 8751578241, 6556362348, 6410049278, 221325215, 221308476, 2217684856, 221325183]"
4,4,0,2,2607.16,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 221318190, 8751578241, 6556362348, 6410049278, 221325215, 221308476, 2217684856, 221325183, 221302437, 221305061]"
6,6,0,3,2557.514,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221313692, 221301713, 221313774, 221328462, 221311461, 2207894131, 5410931210, 5410931538, 221318241, 221319439, 2212132842, 5410768904, 221319446, 6411409229, 6411409259, 221319466, 221319475]"
8,8,0,4,2582.892,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 221322754, 2218015046, 221298303, 221320236]"
10,10,0,5,2531.548,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 221322754, 2218015046, 221298303, 221298310]"
12,12,0,6,2708.45,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 221322754, 2218015046, 221298303, 221298310, 221298329, 221298350]"
14,14,0,7,2657.581,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 221322754, 221320708, 221306028, 2217994122]"
16,16,0,8,2339.182,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 221322754, 2218015046]"
18,18,0,9,2390.916,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993943]"
