,osmid,y,x,street_cou,ref,highway,DAUID,DGUID,LANDAREA,PRUID,CHARACTERI,POPULATION,DENSITY,geometry
0,31887949,43.6850276,-79.3281752,4,,stop,35200578,2021S051235200578,0.0411,35,"Population, 2021",368.0,8953.77128954,POINT (-79.3281752 43.6850276)
1,31887946,43.6833988,-79.3275027,4,,stop,35200579,2021S051235200579,0.0839,35,"Population, 2021",660.0,7866.50774732,POINT (-79.3275027 43.6833988)
2,31887947,43.6842168,-79.3278366,4,,stop,35200579,2021S051235200579,0.0839,35,"Population, 2021",660.0,7866.50774732,POINT (-79.3278366 43.6842168)
3,31887948,43.6825974,-79.3271579,4,,traffic_signals,35200579,2021S051235200579,0.0839,35,"Population, 2021",660.0,7866.50774732,POINT (-79.3271579 43.6825974)
4,31886628,43.6844735,-79.3307948,4,,stop,35200580,2021S051235200580,0.0515,35,"Population, 2021",499.0,9689.32038835,POINT (-79.3307948 43.6844735)
5,31887950,43.6858335,-79.3285086,4,,stop,35200580,2021S051235200580,0.0515,35,"Population, 2021",499.0,9689.32038835,POINT (-79.3285086 43.6858335)
6,31886554,43.6828416,-79.3301077,4,,stop,35200581,2021S051235200581,0.0423,35,"Population, 2021",357.0,8439.71631206,POINT (-79.3301077 43.6828416)
7,31886612,43.6836229,-79.3306647,3,,,35200581,2021S051235200581,0.0423,35,"Population, 2021",357.0,8439.71631206,POINT (-79.3306647 43.6836229)
8,31333691,43.68148,-79.3323648,4,,traffic_signals,35200582,2021S051235200582,0.0897,35,"Population, 2021",763.0,8506.13154961,POINT (-79.3323648 43.68148)
9,31887936,43.6847151,-79.3337371,4,,,35200582,2021S051235200582,0.0897,35,"Population, 2021",763.0,8506.13154961,POINT (-79.3337371 43.6847151)
10,31887937,43.6839138,-79.3333967,4,,,35200582,2021S051235200582,0.0897,35,"Population, 2021",763.0,8506.13154961,POINT (-79.3333967 43.6839138)
11,31887938,43.6822744,-79.3327013,4,,stop,35200582,2021S051235200582,0.0897,35,"Population, 2021",763.0,8506.13154961,POINT (-79.3327013 43.6822744)
12,31887944,43.6825338,-79.3315211,3,,,35200582,2021S051235200582,0.0897,35,"Population, 2021",763.0,8506.13154961,POINT (-79.3315211 43.6825338)
13,31887945,43.6841543,-79.3322267,3,,,35200582,2021S051235200582,0.0897,35,"Population, 2021",763.0,8506.13154961,POINT (-79.3322267 43.6841543)
14,31888198,43.6852683,-79.3311521,4,,stop,35200582,2021S051235200582,0.0897,35,"Population, 2021",763.0,8506.13154961,POINT (-79.3311521 43.6852683)
15,31886540,43.6820364,-79.3297733,3,,traffic_signals,35200583,2021S051235200583,0.0762,35,"Population, 2021",774.0,10157.480315,POINT (-79.3297733 43.6820364)
16,27558569,43.6798377,-79.3221332,4,,traffic_signals,35200588,2021S051235200588,0.0971,35,"Population, 2021",747.0,7693.09989701,POINT (-79.3221332 43.6798377)
17,27558570,43.6833637,-79.3235919,4,,traffic_signals,35200588,2021S051235200588,0.0971,35,"Population, 2021",747.0,7693.09989701,POINT (-79.3235919 43.6833637)
18,32498708,43.6856993,-79.3127793,4,,traffic_signals,35200596,2021S051235200596,0.1045,35,"Population, 2021",920.0,8803.8277512,POINT (-79.3127793 43.6856993)
19,25768674,43.6808326,-79.2840678,4,,traffic_signals,35200649,2021S051235200649,0.0665,35,"Population, 2021",529.0,7954.88721805,POINT (-79.2840678 43.6808326)
20,32416964,43.6802576,-79.2907117,3,,traffic_signals,35200656,2021S051235200656,0.0404,35,"Population, 2021",450.0,11138.6138614,POINT (-79.2907117 43.6802576)
21,32416963,43.6801206,-79.2926127,3,,,35200657,2021S051235200657,0.0994,35,"Population, 2021",760.0,7645.87525151,POINT (-79.2926127 43.6801206)
22,25768694,43.6692679,-79.3035297,3,,traffic_signals,35200667,2021S051235200667,0.0459,35,"Population, 2021",469.0,10217.8649237,POINT (-79.3035297 43.6692679)
23,25768709,43.6687658,-79.3057774,4,,traffic_signals,35200669,2021S051235200669,0.0338,35,"Population, 2021",399.0,11804.7337278,POINT (-79.3057774 43.6687658)
24,25768695,43.6682521,-79.3080601,4,,,35200671,2021S051235200671,0.0445,35,"Population, 2021",451.0,10134.8314607,POINT (-79.3080601 43.6682521)
25,27558203,43.6692664,-79.3140094,3,,,35200673,2021S051235200673,0.0319,35,"Population, 2021",589.0,18463.9498433,POINT (-79.3140094 43.6692664)
26,27558206,43.6691293,-79.3155338,3,,,35200674,2021S051235200674,0.1143,35,"Population, 2021",1001.0,8757.65529309,POINT (-79.3155338 43.6691293)
27,32417040,43.6667174,-79.3149054,3,,,35200674,2021S051235200674,0.1143,35,"Population, 2021",1001.0,8757.65529309,POINT (-79.3149054 43.6667174)
28,27558207,43.6687021,-79.317541,4,,traffic_signals,35200675,2021S051235200675,0.091,35,"Population, 2021",564.0,6197.8021978,POINT (-79.317541 43.6687021)
29,27558563,43.6698742,-79.3180269,3,,,35200675,2021S051235200675,0.091,35,"Population, 2021",564.0,6197.8021978,POINT (-79.3180269 43.6698742)
30,27558568,43.676559,-79.3207749,3,,,35200683,2021S051235200683,0.1501,35,"Population, 2021",752.0,5009.99333777,POINT (-79.3207749 43.676559)
31,27557500,43.6748788,-79.3212864,4,,stop,35200686,2021S051235200686,0.1128,35,"Population, 2021",1010.0,8953.90070922,POINT (-79.3212864 43.6748788)
32,31886452,43.6709253,-79.3279917,4,,traffic_signals,35200692,2021S051235200692,0.0342,35,"Population, 2021",330.0,9649.12280702,POINT (-79.3279917 43.6709253)
33,31886436,43.6692337,-79.3355949,4,,traffic_signals,35200699,2021S051235200699,0.0346,35,"Population, 2021",400.0,11560.6936416,POINT (-79.3355949 43.6692337)
34,21291887,43.6712534,-79.3417151,4,,stop,35200706,2021S051235200706,0.0635,35,"Population, 2021",434.0,6834.64566929,POINT (-79.3417151 43.6712534)
35,31236924,43.6715982,-79.3443807,4,,stop,35200706,2021S051235200706,0.0635,35,"Population, 2021",434.0,6834.64566929,POINT (-79.3443807 43.6715982)
36,31236925,43.6721025,-79.342061,4,,,35200706,2021S051235200706,0.0635,35,"Population, 2021",434.0,6834.64566929,POINT (-79.342061 43.6721025)
37,31258718,43.6699341,-79.3436987,3,,,35200706,2021S051235200706,0.0635,35,"Population, 2021",434.0,6834.64566929,POINT (-79.3436987 43.6699341)
38,31258723,43.6711273,-79.3468174,4,,,35200706,2021S051235200706,0.0635,35,"Population, 2021",434.0,6834.64566929,POINT (-79.3468174 43.6711273)
39,31236895,43.6729515,-79.3424112,4,,,35200707,2021S051235200707,0.038,35,"Population, 2021",363.0,9552.63157895,POINT (-79.3424112 43.6729515)
40,31296491,43.6724226,-79.3447269,4,,stop,35200707,2021S051235200707,0.038,35,"Population, 2021",363.0,9552.63157895,POINT (-79.3447269 43.6724226)
41,21291894,43.6743764,-79.3430005,4,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3430005 43.6743764)
42,31258724,43.671962,-79.3471756,4,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3471756 43.671962)
43,31259189,43.6732043,-79.3477018,3,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3477018 43.6732043)
44,31259190,43.6726507,-79.3474646,3,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3474646 43.6726507)
45,31259191,43.6740621,-79.3480567,3,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3480567 43.6740621)
46,31296495,43.6766592,-79.3465465,3,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3465465 43.6766592)
47,31296496,43.6768791,-79.3466368,3,,stop,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3466368 43.6768791)
48,31296499,43.6760811,-79.3463006,3,,stop,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3463006 43.6760811)
49,31296503,43.6745889,-79.3456551,3,,stop,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3456551 43.6745889)
50,31296504,43.6738478,-79.3453335,3,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3453335 43.6738478)
51,31296506,43.6731042,-79.3450117,3,,stop,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3450117 43.6731042)
52,31296507,43.6763939,-79.3477293,3,,,35200708,2021S051235200708,0.1538,35,"Population, 2021",477.0,3101.43042913,POINT (-79.3477293 43.6763939)
53,31296498,43.6766017,-79.3439238,4,,,35200709,2021S051235200709,0.052,35,"Population, 2021",527.0,10134.6153846,POINT (-79.3439238 43.6766017)
54,31296501,43.6758644,-79.3436084,4,,,35200709,2021S051235200709,0.052,35,"Population, 2021",527.0,10134.6153846,POINT (-79.3436084 43.6758644)
55,31296502,43.6751152,-79.3433119,4,,,35200709,2021S051235200709,0.052,35,"Population, 2021",527.0,10134.6153846,POINT (-79.3433119 43.6751152)
56,31296497,43.6773826,-79.3442436,4,,,35200710,2021S051235200710,0.0552,35,"Population, 2021",495.0,8967.39130435,POINT (-79.3442436 43.6773826)
57,31296508,43.677109,-79.3456282,3,,,35200710,2021S051235200710,0.0552,35,"Population, 2021",495.0,8967.39130435,POINT (-79.3456282 43.677109)
58,32867550,43.6795424,-79.3417745,3,,,35200712,2021S051235200712,0.0715,35,"Population, 2021",711.0,9944.05594406,POINT (-79.3417745 43.6795424)
59,32867941,43.6797788,-79.3406033,3,,,35200712,2021S051235200712,0.0715,35,"Population, 2021",711.0,9944.05594406,POINT (-79.3406033 43.6797788)
60,32868246,43.6792868,-79.3430678,3,,,35200712,2021S051235200712,0.0715,35,"Population, 2021",711.0,9944.05594406,POINT (-79.3430678 43.6792868)
61,31362060,43.6769485,-79.3378401,4,,,35200713,2021S051235200713,0.0385,35,"Population, 2021",418.0,10857.1428571,POINT (-79.3378401 43.6769485)
62,31362063,43.678311,-79.3381595,3,,,35200713,2021S051235200713,0.0385,35,"Population, 2021",418.0,10857.1428571,POINT (-79.3381595 43.678311)
63,31361933,43.6751471,-79.3381238,3,,,35200714,2021S051235200714,0.0442,35,"Population, 2021",397.0,8981.90045249,POINT (-79.3381238 43.6751471)
64,31361978,43.6757218,-79.3352291,4,,stop,35200714,2021S051235200714,0.0442,35,"Population, 2021",397.0,8981.90045249,POINT (-79.3352291 43.6757218)
