,,35300099,35300104,35300110,35300112,35300116,35300128,35300129,35300130,35300131,35300132,35300133,35300134,35300135,35300231,35300273,35300275,35300276,35300277,35300282,35300382,35300383,35300384,35300395,35300396,35300397,35300729,35300840,35300841,35300847,35300977,35300979,35300980,35300981,35300982,35300983,35301052
lat,,43.469345,43.463763,43.457529,43.462538,43.46587,43.453763,43.454154,43.457227,43.459991,43.460299,43.463321,43.4557,43.450891,43.452021,43.440202,43.439597,43.440677,43.438285,43.44613,43.453932,43.45455,43.456036,43.452501,43.449839,43.4473,43.463816,43.460095,43.457617,43.460625,43.443731,43.443426,43.448437,43.446805,43.448236,43.450565,43.43661
lon,,-80.494051,-80.492381,-80.506626,-80.507498,-80.503777,-80.519598,-80.517123,-80.514936,-80.513378,-80.51913,-80.513291,-80.511719,-80.510468,-80.525447,-80.561797,-80.557271,-80.554429,-80.550655,-80.545308,-80.489982,-80.487313,-80.486101,-80.483957,-80.489134,-80.485598,-80.497076,-80.491596,-80.489829,-80.495523,-80.546885,-80.536017,-80.532676,-80.525494,-80.520973,-80.518098,-80.555118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic,Characteristic,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Population and dwellings,"Population, 2021",552,515,587,421,538,419,536,388,553,1850,540,541,532,515,801,606,518,672,899,475,740,356,417,1419,494,962,1251,505,410,450,817,1012,716,567,1002,2048
Population and dwellings,"Population, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population and dwellings,"Population percentage change, 2016 to 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population and dwellings,Total private dwellings,238,226,306,238,233,186,370,234,332,1227,226,308,239,209,296,216,213,209,401,307,385,192,226,942,355,603,618,313,180,175,344,418,348,266,459,699
Population and dwellings,Private dwellings occupied by usual residents,236,220,292,206,227,183,349,222,318,1090,214,290,224,205,295,215,208,206,392,283,375,167,201,805,326,587,583,276,172,167,332,402,342,254,432,678
Population and dwellings,Population density per square kilometre,977.9,3232.9,2344.2,1444.3,2419.1,3273.4,6218.1,3019.5,5552.2,5185,2450.1,2213.6,1221,1603.9,3943.9,4508.9,3589.7,5324.9,1155.7,4891.9,17411.8,2746.9,1776.7,4511.9,5458.6,8651.1,6598.1,1676.1,4270.8,2873.6,2769.5,1368.5,4841.1,3361,10470.2,3178.6
Population and dwellings,Land area in square kilometres,0.56,0.16,0.25,0.29,0.22,0.13,0.09,0.13,0.1,0.36,0.22,0.24,0.44,0.32,0.2,0.13,0.14,0.13,0.78,0.1,0.04,0.13,0.23,0.31,0.09,0.11,0.19,0.3,0.1,0.16,0.3,0.74,0.15,0.17,0.1,0.64
Age characteristics,Total - Age groups of the population - 100% data,555,515,590,425,540,420,535,390,550,1850,540,540,535,515,800,605,515,675,900,475,740,360,420,1420,495,965,1250,505,410,450,820,1010,715,565,1000,2050
