,,,35300034,35300074,35300075,35300076,35300097,35300098,35300099,35300117,35300118,35300119,35300122,35300132,35300273,35300276,35300277,35300283,35300285,35300286,35300287,35300289,35300290,35300291,35300573,35300574,35300575,35300718,35300732,35300970,35300971,35300972,35300973,35300975,35301052,35301053,,
lat,,,43.455412,43.471093,43.472826,43.470706,43.479021,43.475379,43.471891,43.467727,43.466128,43.467939,43.462798,43.463371,43.441928,43.440619,43.438285,43.450219,43.454353,43.455068,43.45815,43.460876,43.46183,43.458053,43.480084,43.479882,43.482754,43.473338,43.460782,43.444962,43.448895,43.446027,43.45006,43.444059,43.43661,43.435322,,
lon,,,-80.553545,-80.510046,-80.506446,-80.500702,-80.489375,-80.487377,-80.491226,-80.507881,-80.514308,-80.515227,-80.523808,-80.519502,-80.561643,-80.554418,-80.550655,-80.548548,-80.543387,-80.549248,-80.544908,-80.541225,-80.534973,-80.534864,-80.463253,-80.471276,-80.467843,-80.49935,-80.529915,-80.564436,-80.561668,-80.558055,-80.554357,-80.556227,-80.555118,-80.560419,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic,Characteristic,Note,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,,
Population and dwellings,"Population, 2021",1,788,556,492,522,619,438,552,536,755,398,1086,1850,801,518,672,674,1101,1131,762,1369,1945,560,781,738,360,1142,709,799,542,370,702,626,2048,1788,28731,
Population and dwellings,"Population, 2016",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population and dwellings,"Population percentage change, 2016 to 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population and dwellings,Total private dwellings,2,372,321,210,201,265,261,238,254,488,242,633,1227,296,213,209,284,411,506,358,801,759,279,287,295,150,547,285,246,178,121,250,213,699,598,,
Population and dwellings,Private dwellings occupied by usual residents,3,343,298,202,199,255,208,236,247,467,217,570,1090,295,208,206,265,380,485,311,704,692,245,280,291,145,530,265,243,176,121,247,211,678,560,,
Population and dwellings,Population density per square kilometre,,3212.4,2844,2206.3,2056.7,791.6,1319.7,977.9,3026.5,6281.2,2522.2,3169.9,5185,3943.9,3589.7,5324.9,2379.1,3380.4,8555.2,3415.5,5531.3,2911.2,3351.3,474.1,2174.4,2024.7,2220.1,3127.5,2612.8,2966.6,3239.9,3275.8,4088.8,3178.6,764.4,,
Population and dwellings,Land area in square kilometres,,0.25,0.2,0.22,0.25,0.78,0.33,0.56,0.18,0.12,0.16,0.34,0.36,0.2,0.14,0.13,0.28,0.33,0.13,0.22,0.25,0.67,0.17,1.65,0.34,0.18,0.51,0.23,0.31,0.18,0.11,0.21,0.15,0.64,2.34,,
Age characteristics,Total - Age groups of the population - 100% data,,785,555,490,520,615,435,555,540,755,395,1085,1850,800,515,675,675,1100,1130,760,1370,1945,560,780,740,360,1140,710,800,540,370,700,625,2050,1790,,
Age characteristics,  0 to 14 years,,75,70,85,95,80,60,75,65,45,35,90,95,125,55,115,115,185,240,110,110,80,85,130,130,55,195,115,170,80,55,105,105,375,295,,
Age characteristics,    0 to 4 years,,15,15,25,40,25,25,30,25,15,15,35,30,35,20,35,30,50,70,30,45,15,30,40,50,10,75,50,50,20,5,30,35,95,70,,
Age characteristics,    5 to 9 years,,30,20,35,30,25,20,25,30,15,10,35,25,45,15,35,50,60,90,35,40,40,25,35,40,15,65,40,60,25,30,30,35,135,105,,
