name,,lat,lon,whether in real route
The Boardwalk Station,,43.435322,-80.560419,1
University Ave. / Countrystone,,43.43771,-80.558223,1
University Ave./countrystone Dr,,43.439346,-80.553535,1
Portsmouth / Westvale,,43.440643, -80.554435,1
Portsmouth /WestVale Dr,,43.44147,-80.556442,0
Westvale / Bridgewater,,43.442198,-80.558685,1
Westvale / Oakvale,,43.442874,-80.559402,0
Westvale / Thorndale,,43.443803,-80.559734,1
Westvale / Edenvalley,,43.445715,-80.559879,1
Westvale / Oakfield,,43.447664,-80.559729,0
Westvale / Heather Hill,,43.44865,-80.558248,1
Westvale / RidgeGate,,43.449731, -80.557606,0
Erb / Gateview,,43.450745,-80.5584,1
Erb/Beachwood,,43.451616,-80.555968,0
Erb / Fischer-Hallman,,43.452471,-80.553482,1
Erb/Churchill,,43.453212,-80.551413,0
Erb / Roosevelt,,43.454032,-80.549007,1
Erb / Culpepper,,43.454615,-80.547232,1
Erb / Amos,,43.455355, -80.545011,1
Erb/Mulberry,,43.45589, -80.543462,0
Erb / Mcdougall,,43.457377,-80.540562,1
Erb/University Ave,,43.457946,-80.539561,0
Erb / Westmount,,43.459371,-80.536997,1
Erb / Dietz,,43.460613,-80.533963,1
Erb / Roslin,,43.461469,-80.531927,1
Erb/Dunbar,,43.461927,-80.530892,0
Erb / Avondale,,43.462394,-80.529828,1
Erb/Menno,,43.462825,-80.528705,0
Erb / Euclid,,43.463292,-80.527672,1
Erb / Father David Bauer,,43.463705,-80.526867,1
Erb/Caroline,,43.464432, -80.525259,0
Caroline/Willsway,,43.462798,-80.523809,0
Willis Way Station,,43.462085,-80.523248,1
William / Caroline,,43.460907,-80.522202,1
William/King,,43.461646,-80.521446,0
Waterloo Public Square Station,,43.464681,-80.522222,1
Erb / King,,43.46519,-80.522347,0
Erb / Hughes,,43.465248,-80.521782,1
Erb/Regina,,43.465323,-80.521166,0
Erb/Peppler,,43.465647, -80.519009,0
Erb / Willow,,43.465759,-80.518042,1
Erb/Moore,,43.466832,-80.51508,0
Erb / Devitt,,43.467486,-80.513939,1
Erb / Weber,,43.46858,-80.510922,1
Erb / Ellis,,43.470015,-80.5066,1
Erb/Magaret,,43.470491,-80.503027,0
Erb / Cardinal,,43.471068,-80.501929,1
Erb/Bluevale,,43.47145,-80.500765,0
Erb / Terrystone,,43.47188,-80.498394,1
Bridgeport Rd./Goldbeck,,43.472562,-80.4984,0
Bridgeport Rd. / Leander,,43.474992,-80.489783,1
Bridgeport Rd. / Mackie,,43.475452,-80.4874,1
Lancaster / Bridgeport Rd.,,43.476762,-80.484388,1
Lancaster / Lang,,43.477677,-80.48443,0
Lancaster / General,,43.479051,-80.484455,1
Lancaster / Bridge,,43.48224,-80.482554,1
Bridge / Tyson,,43.481133, -80.479931,1
Bridge / Bloomingdale,,43.480582,-80.478369,1
Bridge/Grand,,43.479651,-80.475824,0
Bridge / Schweitzer,,43.479109,-80.474458,1
Bridge / Tagge,,43.478225,-80.471963,1
Bridge/Stanley,,43.47725,-80.466425,0
Bridge/Holliger,,43.478222,-80.462461,0
Hollinger / Howard,,43.479405,-80.463009,1
Hollinger / Path To Daniel,,43.480516,-80.462181,1
Hollinger/Dumart,,43.480928,-80.460903,0
Hollinger / Bridge,,43.478786,-80.459885,1
Stanley / Schueller,,43.477788,-80.466784,1
Stanley/Inge,,43.478613, -80.467587,0
Stanley / Tagge,,43.479345,-80.468054,1
Stanley / Schweitzer,,43.480984, -80.469116,1
Schweitzer / Nelson,,43.481653,-80.467128,1
Schweitzer / Daniel,,43.482793,-80.463867,1
Daniel / Bloomingdale,,43.485366,-80.465513,1
