,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
35300034,2301.8067619697636,2004.2761284711598,1786.460397515033,1643.8110904903413,1567.8223988936093,1526.7960288937415,1472.156360121572,1384.1743083965257,1193.3465595785706,995.7111150578053,842.3057229295752,711.6903086382606,650.300976911669,465.20848902653165,327.0642780674251,299.0977437579029,397.14335258630143,517.2225775695807,688.8735215737793,815.606109118278,1070.476063391619,1163.3691681359398,1406.3471719011177,1683.0271436624096,1870.339662231074,1966.6836276894321,2065.7121293422956,2167.737578064626,2264.64795550116,2342.3858528382634,2493.610450502438,2536.7022267184393,2555.462295778517,2602.559392903537,2681.9517345491727,2730.143685202982,2742.7344423593177,2787.182076602215,2836.20800139872,3010.8106124972423,3087.8246774928084,3354.175369044932,3467.0781152060226,3738.701292751426,4122.123536137054,4408.489906157049,4514.903713409999,4617.949273921511,4813.003002333075,4841.894995563078,5587.513250307214,5784.610398662709,6065.1264304857905,6102.53198126974,6164.2138183907855,6459.103945888977,6593.29781823669,6681.226501172519,6826.774144486595,6904.997554652177,7055.638785068863,7438.370111167555,7775.978291841469,7778.249818935437,7883.876663455605,7996.530548910563,7992.924899656458,7430.778182873842,7401.176994527132,7394.72645608401,7382.999952494414,7559.674391777129,7851.323918129096,7846.03228139232
35300074,5688.096239538954,5376.046267826629,4978.36900609277,4929.681433562649,4987.425502798363,5073.094089894927,5071.143325671271,5029.202184600625,4913.376831823525,4781.981789137254,4622.064224272039,4514.1139305825045,4511.111826527139,4292.724638111347,4071.5463477075245,3885.8706874596064,3672.418315084246,3516.3043797154696,3320.5010539259997,3182.931158755637,2896.819845979,2794.8387189464547,2535.713376647025,2254.686885438985,2064.8195882970977,1966.985722015183,1866.6320816860605,1764.2916224682815,1666.075463499644,1586.7053701033662,1433.8252935462478,1443.7514892844438,1462.3436580497482,1498.4259612704484,1396.3852473735205,1214.033106948601,1190.0800253973691,1148.6591708494313,1103.1561200011126,943.3453104811344,876.4530524706104,624.1158671084003,509.47341200268323,288.23646990807066,302.817898010673,570.3545336437626,655.020909475693,749.9948807122286,944.3349804388446,953.872104953692,1691.605747093388,1890.5795290322458,2164.2529586161854,2192.8353237703736,2246.5846667399132,2541.108204093025,2674.1616834881775,2765.244545921799,2920.773777018884,3006.7953058009684,3173.6705754211252,3585.853053293794,3920.69805362013,3906.3824115755665,4001.849897608464,4113.39265643193,4136.9743193624,3569.402158322175,3526.652662707209,3510.4269178448217,3480.960688402704,3656.695035593251,3946.720901300725,3928.132254847018
35300075,6030.8889919722415,5719.584557301515,5320.331515468342,5273.528512815904,5333.047553990952,5420.075095766833,5418.675819019839,5377.187484255728,5261.874779802654,5130.572035004488,4970.630552733916,4862.555692077641,4859.1238254546,4640.803950001184,4419.710830396459,4234.095340575942,4020.728773724457,3864.6836203215757,3668.9572322796744,3531.4310409427344,3245.2722576308756,3143.2500747098375,2883.9952293295532,2603.0177979887276,2413.174832278267,2315.3412207575393,2214.990207218506,2112.6909145165832,2014.4710587476059,1935.0641417104544,1782.1725521868054,1790.744098019303,1806.9465166138518,1836.6652037329623,1735.1731021491992,1562.401303062865,1538.6857639022526,1497.2325138576996,1451.600745235344,1290.3767321990176,1221.9666756086672,964.2026393840916,847.4679929277522,594.4549731005022,312.81632522484955,378.8583416737997,413.6112928666305,483.2890365182941,658.2157471864771,649.9315012750017,1365.986620535205,1564.3645557299017,1832.9176380794806,1856.5820945206017,1904.6858121046405,2193.668359683683,2330.3481541738443,2424.1121406795446,2584.802116548123,2673.997081486069,2846.487295860786,3266.603370257907,3599.5428561276585,3580.4612589356148,3672.6393798159556,3783.636219785775,3815.027566774504,3247.5813088660225,3200.89979408653,3181.5295893405832,3145.7483379167825,3320.8722757477926,3609.937139703741,3585.006040544755
35300076,6222.2822024896295,5917.720655353465,5508.752649282545,5475.931736177078,5550.737485701714,5652.658935890565,5659.192574757967,5626.015713661261,5525.956267330196,5409.477478603945,5252.3897101207285,5151.059656006013,5158.738286321268,4939.849006048987,4717.792838786584,4531.580201196251,4317.031874299409,4159.8025617320145,3962.567776127391,3824.1057786429055,3541.9499460396787,3442.1687713008696,3188.8381010331314,2909.4620426568954,2721.2427901151977,2624.709001719598,2525.7315581676758,2423.870394674488,2327.433685293354,2250.495363824739,2100.991489468594,2061.715615311882,2056.604628048197,2048.879250018864,1953.854489019043,1861.4310989509443,1851.3258265104603,1806.1899896649852,1756.587747548475,1580.8585620068047,1503.5826854316037,1237.6840407906952,1126.6260739647187,857.9516208411278,482.11683968074755,189.13828798967833,106.8843947117386,82.88520336597956,227.44128645624875,277.6678910646927,1001.7335493592656,1196.106583520668,1478.6638043446346,1524.7584554390394,1606.1610566018155,1946.5860291704423,2037.96772492788,2110.3062163095833,2240.336636932407,2314.6439686150193,2465.1248074507803,2860.023683820786,3196.922482139708,3191.6085859962595,3294.1351018499527,3406.6118227381894,3413.9425936641974,2847.9639659589543,2813.043248770439,2804.0888175696864,2793.193361457202,2969.9880311902425,3261.9398593646793,3273.983168254026
35300097,7516.220764670196,7209.780438674557,6802.928510617783,6766.473896465955,6836.362036680167,6932.437519433879,6935.360672785329,6898.0150591597,6789.306860251867,6663.164686911313,6503.97119315875,6397.683496526226,6396.7133355607975,6178.158701269746,5956.728245466325,5770.850110476838,5557.045816298714,5400.5797262256965,5204.275907219887,5066.343856776478,4780.78381550646,4679.138643722116,4420.773935260089,4139.638422222577,3949.7421299937337,3851.9543036373934,3751.6397675172593,3649.158798252808,3551.022183873027,3471.86854191825,3319.1306914646816,3312.912728128852,3319.3764907870464,3327.847953043686,3229.6611360442143,3093.2643848789885,3073.1916671984213,3030.539047551,2983.4831314636986,2816.012638801092,2743.341366156327,2477.798305289398,2360.9574382387245,2090.6810039200227,1713.105159976143,1453.6755960486835,1344.6992325815968,1246.3620397810087,1077.092029720737,1022.8119944926868,449.21294138126837,427.6559525995837,474.35555202941737,426.0667438055547,396.9894524217008,656.5048589055174,797.3546717154666,904.8244169546601,1095.6132941448473,1203.6332192484215,1407.7007490815174,1862.2143897442297,2173.4162839057744,2127.791001134154,2200.438554634056,2307.0237948143413,2379.58072409375,1827.94684257345,1758.5796289084728,1720.680594997187,1649.1022101583649,1818.6867277396145,2100.3804764602737,2050.4360571283028
35300098,7389.154600164772,7088.347265455426,6675.969681206982,6649.372385229352,6729.906339353264,6836.558912124709,6845.337174856164,6814.273624311881,6717.315162794966,6602.799166298932,6446.004535401087,6345.09782897742,6352.940729111674,6134.048151488413,5911.992748017356,5725.776749724694,5511.230226877121,5354.00531060387,5156.774383923191,5018.312742380412,4736.011895034672,4636.096874992818,4382.211581791426,4102.42676888299,3913.7940148311013,3816.9547508565984,3717.6228307636306,3615.4983006195916,3518.5741233918566,3441.030735641789,3290.444029148092,3255.8984691309306,3250.373323290695,3238.5049669556697,3144.980933176571,3053.192851412076,3040.9372208849372,2996.2417538336513,2947.06253237056,2772.53072536273,2695.8896756140693,2429.1699850568452,2316.178394797226,2044.8631056189547,1661.910466207733,1374.8607900836446,1268.332126736624,1165.3206282526185,970.4091850561477,943.0199122485558,198.85501394193545,8.326700035494174,286.03870342800286,349.0538418294601,471.4912951490077,856.4279600279101,877.6794578734839,928.9799127531878,1046.244003537222,1121.896269410907,1283.3702954695468,1703.3634971502672,2035.1509154174412,2016.5310240993067,2111.7243745054034,2223.4430090972755,2250.409912847095,1683.0883860593449,1636.8217107514404,1620.3080928957013,1599.8224279639473,1776.53783429094,2068.3256490901745,2084.515307837344
35300099,6908.680208180225,6609.921468939287,6196.051493629634,6172.801873430894,6257.13923991442,6367.821437055136,6379.003005142194,6350.662554251176,6259.127554558825,6150.3697464583,5995.0277093506975,5897.042559242627,5909.5216307616765,5690.881945857935,5468.964669591523,5282.994802828662,5068.576991668422,4911.356505559085,4714.180852520526,4575.851219933794,4296.320790284878,4197.762518473726,3947.533537590677,3669.92238505895,3483.1137179656494,3387.4500689260612,3289.3768923307794,3188.1915058652116,3092.758360654415,3016.8614419000182,2868.9858691113327,2817.1973997610753,2804.860916240212,2782.266654286417,2691.773280210651,2626.728403770498,2619.6695105299304,2574.1306562508717,2524.1233773936333,2347.122957989018,2268.920364143825,2005.5041058885456,1897.225008980344,1631.507301768382,1258.0485806326099,964.9399733459393,868.5256319052348,771.318542694733,578.4274432389276,583.6953972431852,363.9457317443453,502.10004629726456,773.1877541852242,845.3714466435498,965.594246032303,1346.7996054628513,1373.5799347786046,1417.808391305669,1512.973226214882,1573.1649869131807,1706.4820004535156,2088.0765273743414,2425.495705972131,2425.3087641864654,2532.2764252086968,2645.0611596600975,2642.59992868305,2078.4122495298807,2048.6776009652453,2045.2393060318311,2050.642730287913,2226.9147952670346,2518.4980769668955,2559.183900174767
35300117,5565.051787257612,5258.698691290855,4851.795042874427,4815.689702852105,4887.640387831065,4987.46786517436,4993.150528048924,4959.295845657935,4858.622408024316,4742.387059934998,4585.475023839667,4484.657195399974,4493.53526782283,4274.694102955026,4052.6485180013065,3866.484343864067,3651.9405752955386,3494.6833380214566,3297.426495017952,3158.977536111027,2877.7667988894163,2778.5245862452575,2526.884004890591,2248.700226461837,2061.62694018005,1965.901916871799,1867.8588355473453,1766.7740036570585,1671.61417589693,1596.1770380858413,1449.531876038373,1397.426617408954,1389.842354748902,1382.3668258219027,1286.7513868095848,1205.9065350662336,1201.0475723962754,1155.2192633150485,1104.9581249718349,927.3625512956409,848.7147577144989,589.4341346843531,489.622534861967,263.10212556020144,274.6148363266557,497.89566863515364,607.2245622380435,707.9152422252668,894.077360451858,935.1030674822645,1668.9767933914557,1862.6279406119688,2145.5217304036096,2192.06636498318,2271.3120261725894,2604.0097127060794,2703.464908396806,2777.4600638013126,2906.789634743425,2979.2150982560443,3124.6142341116656,3508.8767874000782,3846.431983269476,3846.675947113175,3952.3510349016456,4065.0450376319804,4063.5134738887054,3499.9155397079157,3469.4895978399645,3463.7078657899447,3457.9804064557566,3634.7860431124973,3926.8228225034227,3941.3356002702635
35300118,5058.565677326869,4748.860671434649,4346.843115007781,4303.718666117151,4368.6207618705075,4462.249426930591,4464.876738854795,4428.000047374462,4322.310916942452,4201.922333343076,4044.1993199536005,3941.7867016286596,3948.5536478416825,3729.6560765818294,3507.6026567034082,3321.3821875354315,3106.839165672519,2949.6233997620106,2752.4040326257395,2613.9448223510117,2331.6858597416617,2231.9813110761975,1979.3276399676508,1700.7052788493168,1513.3974788249177,1417.6056829351749,1319.5773251398157,1218.5828290383922,1123.7004630287045,1048.7709621130637,903.6909020954505,851.5065646310477,850.1086796697625,861.9358155329439,761.7407067646542,658.6486464948241,657.1093541377087,611.0663541036547,560.6585680613233,383.13923070186405,304.1275726905924,100.04788881255905,153.91128193513984,386.01419581803674,757.4596376176484,1031.580597607257,1140.046595970629,1242.8478153391113,1434.7061659409937,1469.6523447778416,2210.955147522003,2406.217637862952,2688.4304272722393,2731.6991244452724,2805.007949513907,3126.5282983418206,3237.1082300382664,3315.6327439261045,3450.3382509735093,3524.780275283768,3672.264059615516,4057.049004001385,4394.621232102071,4394.928215069678,4500.303140666745,4612.96977591241,4611.693461574831,4048.212538423269,4017.6263693924234,4011.364032576309,4003.399373334811,4180.20076068022,4472.173050210652,4480.882799250868
35300119,5144.13021158237,4831.571496691803,4435.134441817061,4385.031397298245,4441.875369659133,4527.4258014560155,4525.723382183933,4484.267485776298,4369.953534909567,4240.849724238676,4081.398619656289,3974.82644252077,3974.6340874969783,3755.946718687776,3534.3456872907395,3348.3618196477073,3134.4091742441474,2977.8381070099176,2781.448069295954,2643.490219197498,2358.0199638013273,2256.4917475213592,1998.665202855434,1717.5722408934698,1527.7712870875466,1430.1073397778607,1329.931244221703,1227.406486519778,1129.4885579092481,1050.7656150704797,898.6354746323551,898.0473760616864,918.0184443501099,963.4756691608177,861.138504875982,670.7626896882032,650.8505065845414,607.7693534038177,560.6572512507921,397.6308612524042,332.2194244407148,123.66329398750445,115.50518806329374,354.6516212513736,733.4673925911382,1024.609483715059,1128.1260304414077,1230.630366183955,1427.3296500747786,1451.946870113541,2197.9148157820164,2395.8891882392495,2674.958276753776,2710.800433916005,2773.5335885210843,3078.8782172757847,3203.7667408313373,3289.684463286261,3435.9218657121555,3516.4478316070094,3673.726867533012,4071.885077501162,4408.755260552341,4402.304221670049,4503.081537943258,4615.335124330198,4625.760074141648,4059.585882241108,4023.3051640333038,4012.2730661124997,3993.5440446665834,4170.018601924821,4461.301108210634,4454.914895416131
